"id","age","gender","education","region"
1,27,"Male","Bachelor","East"
2,29,"Male","Masters","West"
3,37,"Male","Bachelor","West"
4,30,"Male","HighSchool","South"
5,31,"Female","College","North"
6,38,"Male","Bachelor","South"
7,32,"Female","Bachelor","South"
8,24,"Female","HighSchool","North"
9,27,"Male","College","East"
10,28,"Female","HighSchool","North"
11,35,"Male","HighSchool","South"
12,32,"Female","Bachelor","North"
13,32,"Male","College","East"
14,30,"Female","Bachelor","East"
15,28,"Male","Bachelor","North"
16,38,"Female","College","West"
17,32,"Male","Bachelor","South"
18,21,"Female","College","West"
19,33,"Female","Bachelor","West"
20,28,"Male","HighSchool","East"
21,25,"Female","College","North"
22,29,"Male","College","West"
23,25,"Female","College","West"
24,27,"Female","College","North"
25,27,"Male","Bachelor","West"
26,22,"Female","College","West"
27,34,"Male","Masters","North"
28,31,"Female","College","West"
29,25,"Female","Bachelor","West"
30,36,"Male","Bachelor","East"
31,32,"Female","Bachelor","West"
32,29,"Male","Bachelor","South"
33,34,"Male","College","East"
34,34,"Female","College","East"
35,34,"Male","College","East"
36,33,"Male","College","North"
37,32,"Male","Bachelor","East"
38,30,"Male","Masters","East"
39,29,"Female","Bachelor","North"
40,28,"Female","HighSchool","East"
41,27,"Male","Bachelor","West"
42,29,"Female","Bachelor","East"
43,24,"Male","Bachelor","West"
44,40,"Male","HighSchool","East"
45,35,"Female","Bachelor","East"
46,25,"Male","Bachelor","West"
47,28,"Male","College","South"
48,28,"Male","College","North"
49,33,"Female","College","East"
50,30,"Male","Bachelor","West"
51,31,"Female","College","South"
52,30,"Male","College","North"
53,30,"Male","HighSchool","West"
54,36,"Female","College","East"
55,29,"Female","College","West"
56,37,"Female","College","East"
57,23,"Male","Masters","East"
58,33,"Male","College","West"
59,31,"Female","College","West"
60,31,"Female","HighSchool","West"
61,32,"Male","HighSchool","East"
62,28,"Female","HighSchool","North"
63,29,"Female","Masters","North"
64,25,"Female","HighSchool","West"
65,25,"Female","College","West"
66,31,"Female","Bachelor","North"
67,32,"Female","College","East"
68,30,"Male","Bachelor","South"
69,34,"Male","Bachelor","East"
70,39,"Female","College","West"
71,28,"Male","College","West"
72,20,"Female","Bachelor","East"
73,34,"Female","College","East"
74,27,"Male","Masters","West"
75,27,"Male","HighSchool","North"
76,35,"Female","Masters","East"
77,29,"Male","HighSchool","South"
78,25,"Female","Bachelor","West"
79,31,"Female","College","West"
80,29,"Female","Bachelor","North"
81,30,"Female","HighSchool","East"
82,32,"Male","Bachelor","East"
83,28,"Female","HighSchool","South"
84,33,"Female","HighSchool","South"
85,29,"Female","Masters","West"
86,31,"Male","Bachelor","East"
87,35,"Female","HighSchool","North"
88,32,"Male","College","West"
89,29,"Female","College","West"
90,35,"Male","HighSchool","South"
91,34,"Female","College","North"
92,32,"Male","College","East"
93,31,"Female","College","South"
94,27,"Female","College","East"
95,36,"Female","Bachelor","West"
96,27,"Female","Masters","West"
97,40,"Male","Bachelor","South"
98,37,"Male","Bachelor","South"
99,29,"Male","Bachelor","East"
100,25,"Male","College","South"
101,27,"Male","College","North"
102,31,"Male","College","East"
103,29,"Female","Bachelor","West"
104,28,"Male","College","East"
105,26,"Male","Bachelor","North"
106,30,"Male","College","South"
107,26,"Female","Bachelor","East"
108,23,"Male","HighSchool","North"
109,28,"Male","College","East"
110,34,"Male","College","North"
111,27,"Male","Bachelor","East"
112,33,"Male","Bachelor","East"
113,23,"Male","HighSchool","North"
114,30,"Female","HighSchool","East"
115,32,"Female","HighSchool","West"
116,31,"Female","Bachelor","West"
117,30,"Female","Masters","West"
118,27,"Female","Bachelor","South"
119,26,"Male","Bachelor","North"
120,25,"Female","Bachelor","South"
121,31,"Female","College","South"
122,26,"Male","College","North"
123,28,"Female","HighSchool","East"
124,29,"Female","College","North"
125,38,"Female","Bachelor","East"
126,27,"Female","HighSchool","North"
127,31,"Male","College","East"
128,30,"Male","Bachelor","North"
129,26,"Female","Masters","North"
130,30,"Male","College","North"
131,36,"Male","HighSchool","West"
132,32,"Female","Bachelor","West"
133,30,"Female","College","North"
134,28,"Male","College","South"
135,21,"Male","College","East"
136,35,"Male","Bachelor","East"
137,23,"Male","Bachelor","East"
138,33,"Female","College","East"
139,39,"Female","HighSchool","North"
140,24,"Female","College","West"
141,33,"Male","College","East"
142,29,"Female","College","South"
143,23,"Male","College","North"
144,23,"Female","HighSchool","West"
145,23,"Female","College","South"
146,28,"Male","College","South"
147,23,"Male","HighSchool","North"
148,33,"Female","College","West"
149,39,"Female","Masters","East"
150,24,"Male","Bachelor","East"
151,34,"Female","College","West"
152,33,"Male","Masters","North"
153,31,"Male","HighSchool","North"
154,25,"Male","Bachelor","East"
155,29,"Male","Bachelor","South"
156,29,"Male","College","North"
157,33,"Male","College","East"
158,28,"Male","HighSchool","East"
159,34,"Female","HighSchool","North"
160,28,"Female","HighSchool","North"
161,35,"Female","College","East"
162,25,"Male","HighSchool","West"
163,24,"Female","College","South"
164,44,"Female","Bachelor","East"
165,28,"Female","College","East"
166,31,"Male","Bachelor","West"
167,33,"Female","College","West"
168,28,"Male","Bachelor","East"
169,32,"Male","HighSchool","East"
170,32,"Male","Bachelor","South"
171,29,"Female","Bachelor","North"
172,30,"Male","HighSchool","West"
173,30,"Male","HighSchool","West"
174,40,"Male","College","North"
175,27,"Female","Bachelor","West"
176,25,"Male","College","East"
177,30,"Female","HighSchool","East"
178,31,"Female","Bachelor","West"
179,32,"Female","Bachelor","North"
180,28,"Male","Masters","West"
181,25,"Male","Masters","South"
182,36,"Female","Bachelor","East"
183,28,"Male","HighSchool","North"
184,26,"Female","College","North"
185,29,"Female","Bachelor","East"
186,29,"Male","Masters","West"
187,35,"Male","Bachelor","East"
188,30,"Female","College","West"
189,33,"Female","College","South"
190,28,"Male","College","East"
191,31,"Female","College","South"
192,29,"Male","College","West"
193,30,"Female","HighSchool","East"
194,26,"Male","College","North"
195,24,"Male","Bachelor","West"
196,39,"Female","College","South"
197,33,"Female","College","South"
198,24,"Female","College","North"
199,27,"Female","Bachelor","North"
200,25,"Female","College","East"
201,40,"Female","Bachelor","West"
202,36,"Female","College","East"
203,29,"Female","HighSchool","East"
204,32,"Male","College","West"
205,28,"Male","HighSchool","North"
206,28,"Female","HighSchool","West"
207,26,"Male","Bachelor","West"
208,27,"Male","College","West"
209,37,"Female","College","East"
210,30,"Male","College","East"
211,31,"Female","Bachelor","West"
212,31,"Female","Bachelor","East"
213,36,"Female","HighSchool","East"
214,28,"Female","College","West"
215,26,"Female","College","South"
216,37,"Female","Bachelor","West"
217,28,"Male","Masters","North"
218,27,"Female","HighSchool","East"
219,24,"Female","College","North"
220,24,"Male","College","West"
221,27,"Male","Bachelor","West"
222,33,"Female","HighSchool","North"
223,35,"Male","Bachelor","South"
224,33,"Female","Bachelor","West"
225,28,"Male","Bachelor","North"
226,30,"Male","Bachelor","South"
227,27,"Male","HighSchool","South"
228,27,"Male","HighSchool","South"
229,34,"Male","Bachelor","South"
230,25,"Male","College","West"
231,39,"Female","Bachelor","West"
232,30,"Female","Bachelor","East"
233,31,"Female","College","South"
234,27,"Female","College","East"
235,27,"Female","College","East"
236,24,"Female","Bachelor","East"
237,29,"Male","College","West"
238,32,"Female","College","West"
239,31,"Male","Masters","South"
240,27,"Male","HighSchool","West"
241,26,"Male","College","North"
242,28,"Female","Bachelor","East"
243,37,"Male","Bachelor","North"
244,25,"Female","Bachelor","West"
245,29,"Male","College","North"
246,39,"Female","HighSchool","North"
247,30,"Male","Bachelor","West"
248,24,"Male","HighSchool","East"
249,27,"Male","Bachelor","North"
250,32,"Male","College","East"
251,28,"Male","Masters","South"
252,27,"Female","Bachelor","South"
253,28,"Male","Masters","South"
254,30,"Male","HighSchool","North"
255,37,"Female","Bachelor","East"
256,30,"Male","Bachelor","West"
257,35,"Male","HighSchool","North"
258,33,"Female","Bachelor","South"
259,29,"Female","College","North"
260,23,"Male","College","North"
261,28,"Female","College","North"
262,28,"Female","College","West"
263,30,"Male","College","West"
264,36,"Male","Masters","North"
265,40,"Female","HighSchool","West"
266,37,"Male","HighSchool","East"
267,29,"Female","College","South"
268,22,"Male","Bachelor","West"
269,28,"Female","Bachelor","North"
270,30,"Female","College","West"
271,34,"Male","Bachelor","North"
272,34,"Female","College","North"
273,33,"Male","College","South"
274,24,"Male","Masters","West"
275,34,"Male","College","West"
276,28,"Female","Bachelor","North"
277,31,"Female","HighSchool","North"
278,30,"Male","College","East"
279,32,"Female","College","North"
280,30,"Female","Bachelor","North"
281,23,"Female","Bachelor","South"
282,33,"Female","HighSchool","North"
283,32,"Male","College","North"
284,29,"Male","HighSchool","North"
285,31,"Male","HighSchool","North"
286,31,"Male","Masters","West"
287,31,"Male","HighSchool","South"
288,37,"Male","Bachelor","East"
289,29,"Female","College","South"
290,31,"Female","Masters","East"
291,35,"Female","College","East"
