"id","loyalty_status","purchase_frequency","purchase_amount","product_category"
1,"Gold","frequent",18249,"Books"
2,"Regular","rare",4557,"Clothing"
3,"Silver","rare",11822,"Clothing"
4,"Regular","frequent",4098,"Food"
5,"Regular","occasional",19685,"Clothing"
6,"Silver","occasional",2822,"Electronics"
7,"Silver","frequent",3293,"Clothing"
8,"Regular","rare",21794,"Books"
9,"Regular","occasional",5819,"Clothing"
10,"Regular","rare",8779,"Food"
11,"Regular","rare",16158,"Home"
12,"Silver","rare",13608,"Electronics"
13,"Silver","occasional",2450,"Clothing"
14,"Regular","occasional",5579,"Books"
15,"Silver","rare",12901,"Books"
16,"Silver","rare",9644,"Clothing"
17,"Regular","rare",21329,"Clothing"
18,"Regular","rare",7612,"Food"
19,"Regular","rare",3129,"Clothing"
20,"Regular","rare",12764,"Electronics"
21,"Regular","occasional",17638,"Beauty"
22,"Silver","occasional",12838,"Clothing"
23,"Regular","rare",3264,"Food"
24,"Regular","frequent",12633,"Electronics"
25,"Gold","rare",11869,"Food"
26,"Silver","frequent",2188,"Electronics"
27,"Regular","occasional",11944,"Food"
28,"Regular","occasional",12137,"Clothing"
29,"Silver","frequent",15844,"Electronics"
30,"Regular","frequent",15289,"Electronics"
31,"Regular","occasional",2080,"Food"
32,"Regular","rare",11833,"Clothing"
33,"Silver","occasional",4155,"Beauty"
34,"Gold","rare",4475,"Clothing"
35,"Regular","rare",5888,"Electronics"
36,"Regular","rare",14083,"Electronics"
37,"Silver","frequent",16783,"Electronics"
38,"Regular","rare",17967,"Health"
39,"Regular","rare",9505,"Home"
40,"Silver","rare",17595,"Electronics"
41,"Gold","rare",12690,"Electronics"
42,"Regular","occasional",1693,"Electronics"
43,"Regular","rare",4842,"Clothing"
44,"Regular","rare",5347,"Food"
45,"Regular","frequent",11293,"Books"
46,"Gold","frequent",16596,"Clothing"
47,"Regular","occasional",2394,"Electronics"
48,"Regular","occasional",16856,"Clothing"
49,"Silver","rare",5197,"Food"
50,"Silver","occasional",12967,"Electronics"
51,"Regular","frequent",12114,"Electronics"
52,"Silver","rare",8649,"Clothing"
53,"Silver","rare",3079,"Health"
54,"Regular","occasional",7587,"Food"
55,"Regular","occasional",6884,"Clothing"
56,"Regular","occasional",1987,"Electronics"
57,"Gold","occasional",18416,"Electronics"
58,"Regular","occasional",20515,"Electronics"
59,"Silver","frequent",3895,"Food"
60,"Regular","rare",5046,"Electronics"
61,"Silver","rare",2908,"Electronics"
62,"Regular","occasional",8066,"Books"
63,"Gold","occasional",13341,"Books"
64,"Silver","rare",6020,"Home"
65,"Silver","rare",2301,"Food"
66,"Gold","occasional",3708,"Electronics"
67,"Regular","occasional",12038,"Clothing"
68,"Regular","occasional",8146,"Clothing"
69,"Regular","frequent",13002,"Books"
70,"Silver","occasional",6617,"Books"
71,"Silver","occasional",8973,"Food"
72,"Silver","rare",20296,"Health"
73,"Silver","frequent",5486,"Electronics"
74,"Regular","rare",10110,"Electronics"
75,"Silver","occasional",11083,"Electronics"
76,"Regular","rare",2939,"Electronics"
77,"Silver","frequent",4059,"Electronics"
78,"Silver","rare",2916,"Clothing"
79,"Regular","rare",9814,"Home"
80,"Regular","occasional",9535,"Food"
81,"Regular","rare",9536,"Home"
82,"Regular","rare",2236,"Health"
83,"Regular","rare",3542,"Electronics"
84,"Silver","occasional",18843,"Clothing"
85,"Regular","occasional",12915,"Clothing"
86,"Gold","rare",2101,"Clothing"
87,"Silver","rare",5398,"Electronics"
88,"Silver","occasional",9408,"Health"
89,"Silver","rare",13186,"Clothing"
90,"Regular","frequent",11223,"Electronics"
91,"Regular","rare",6960,"Food"
92,"Regular","rare",11462,"Clothing"
93,"Silver","rare",6759,"Electronics"
94,"Gold","rare",9433,"Electronics"
95,"Regular","occasional",2115,"Electronics"
96,"Silver","frequent",2441,"Electronics"
97,"Gold","rare",10354,"Food"
98,"Silver","occasional",2387,"Clothing"
99,"Regular","rare",1676,"Clothing"
100,"Regular","rare",1728,"Clothing"
101,"Silver","occasional",10705,"Books"
102,"Silver","occasional",15266,"Clothing"
103,"Regular","rare",5272,"Clothing"
104,"Regular","rare",1568,"Electronics"
105,"Regular","occasional",10044,"Health"
106,"Regular","occasional",1984,"Health"
107,"Regular","occasional",3001,"Books"
108,"Regular","rare",11216,"Food"
109,"Silver","occasional",9438,"Books"
110,"Regular","rare",15534,"Books"
111,"Regular","frequent",18507,"Health"
112,"Silver","rare",8568,"Books"
113,"Silver","rare",9744,"Books"
114,"Regular","rare",4762,"Electronics"
115,"Regular","occasional",4289,"Books"
116,"Silver","rare",19903,"Electronics"
117,"Regular","occasional",9083,"Electronics"
118,"Silver","frequent",10879,"Electronics"
119,"Regular","rare",4327,"Books"
120,"Silver","rare",8860,"Books"
121,"Regular","frequent",10755,"Health"
122,"Silver","frequent",6518,"Clothing"
123,"Silver","frequent",10395,"Health"
124,"Regular","occasional",1888,"Books"
125,"Regular","frequent",20447,"Electronics"
126,"Regular","occasional",7882,"Clothing"
127,"Regular","rare",17394,"Clothing"
128,"Silver","frequent",13669,"Home"
129,"Regular","rare",3227,"Clothing"
130,"Regular","occasional",9690,"Books"
131,"Silver","rare",7785,"Electronics"
132,"Regular","rare",11395,"Health"
133,"Silver","rare",10343,"Food"
134,"Silver","rare",13781,"Electronics"
135,"Regular","frequent",11408,"Electronics"
136,"Regular","occasional",9936,"Books"
137,"Regular","frequent",9547,"Books"
